Date,Open
3/27/2014,566.44
3/28/2014,559.66
3/31/2014,565.34
4/1/2014,557.18
4/2/2014,598.35
4/3/2014,568.29
4/4/2014,573.08
4/7/2014,539.26
4/8/2014,541.11
4/9/2014,558.09
4/10/2014,563.45
4/11/2014,531.09
4/14/2014,536.78
4/15/2014,535.35
4/16/2014,541.51
4/17/2014,547.31
4/21/2014,534.63
4/22/2014,527.19
4/23/2014,532.33
4/24/2014,528.62
4/25/2014,521.08
4/28/2014,515.76
4/29/2014,515.48
4/30/2014,526.16
5/1/2014,525.67
5/2/2014,532.3
5/5/2014,523.38
5/6/2014,523.79
5/7/2014,514.38
5/8/2014,507.07
5/9/2014,509.35
5/12/2014,522.08
5/13/2014,529.44
5/14/2014,531.54
5/15/2014,524.26
5/16/2014,519.96
5/19/2014,518.28
5/20/2014,528.29
5/21/2014,531.44
5/22/2014,539.65
5/23/2014,545.76
5/27/2014,554.48
5/28/2014,563.02
5/29/2014,561.81
5/30/2014,559.26
6/2/2014,559.16
6/3/2014,549.48
6/4/2014,540.02
6/5/2014,544.9
6/6/2014,556.53
6/9/2014,555.62
6/10/2014,558.98
6/11/2014,556.47
6/12/2014,555.77
6/13/2014,550.75
6/16/2014,547.76
6/17/2014,542.71
6/18/2014,543.37
6/19/2014,552.72
6/20/2014,555.33
6/23/2014,553.63
6/24/2014,563.64
6/25/2014,563.71
6/26/2014,579.41
6/27/2014,575.6
6/30/2014,577.08
7/1/2014,576.74
7/2/2014,581.75
7/3/2014,581.75
7/7/2014,582.16
7/8/2014,576.08
7/9/2014,570.02
7/10/2014,564.36
7/11/2014,570.34
7/14/2014,581
7/15/2014,584.14
7/16/2014,586.39
7/17/2014,577.94
7/18/2014,591.38
7/21/2014,590.13
7/22/2014,589.1
7/23/2014,591.61
7/24/2014,594.82
7/25/2014,588.78
7/28/2014,586.46
7/29/2014,587.14
7/30/2014,584.94
7/31/2014,579.01
8/1/2014,568.84
8/4/2014,567.48
8/5/2014,568.49
