Date,Open
2009-05-11,12.13
2009-05-12,12.34
2009-05-13,11.74
2009-05-14,11.41
2009-05-15,11.65
2009-05-18,11.79
2009-05-19,12.08
2009-05-20,12.16
2009-05-21,11.92
2009-05-22,11.82
2009-05-26,11.88
2009-05-27,12.55
2009-05-28,12.71
2009-05-29,12.9
2009-06-01,13
2009-06-02,13.24
2009-06-03,13.34
2009-06-04,13.35
2009-06-05,13.84
2009-06-08,13.7
2009-06-09,13.7
2009-06-10,13.55
2009-06-11,13.29
2009-06-12,13.22
2009-06-15,12.96
2009-06-16,13.02
2009-06-17,13.02
2009-06-18,12.97
2009-06-19,13.15
2009-06-22,13.4
2009-06-23,12.99
2009-06-24,12.9
2009-06-25,12.93
2009-06-26,13.32
2009-06-29,13.67
2009-06-30,13.58
2009-07-01,13.67
2009-07-02,13.46
2009-07-06,13.21
2009-07-07,13.19
2009-07-08,12.95
2009-07-09,13.12
2009-07-10,12.99
2009-07-13,13.29
2009-07-14,13.53
2009-07-15,13.82
2009-07-16,13.88
2009-07-17,14.2
2009-07-20,14.6
2009-07-21,14.6
2009-07-22,15.03
2009-07-23,14.92
2009-07-24,14.95
2009-07-27,15.26
2009-07-28,15.13
2009-07-29,15.14
2009-07-30,15.4
2009-07-31,15.53
2009-08-03,15.74
2009-08-04,15.71
2009-08-05,15.79
2009-08-06,15.77
2009-08-07,15.76
2009-08-10,15.78
2009-08-11,15.59
2009-08-12,15.48
2009-08-13,15.87
2009-08-14,16
2009-08-17,15.58
2009-08-18,15.4
2009-08-19,15.5
2009-08-20,15.72
2009-08-21,15.97
2009-08-24,16.21
2009-08-25,16.14
2009-08-26,16.09
2009-08-27,16.07
2009-08-28,16.41
2009-08-31,16.02
2009-09-01,16
2009-09-02,15.68
2009-09-03,15.85
2009-09-04,15.93
2009-09-08,16.48
2009-09-09,16.46
2009-09-10,16.39
2009-09-11,16.47
2009-09-14,16.27
2009-09-15,16.58
2009-09-16,16.95
2009-09-17,17.33
2009-09-18,17.7
2009-09-21,17.56
2009-09-22,17.64
2009-09-23,17.66
2009-09-24,17.83
2009-09-25,17.34
2009-09-28,17.52
2009-09-29,17.79
2009-09-30,17.73
2009-10-01,17.66
2009-10-02,17.28
2009-10-05,17.74
2009-10-06,17.88
2009-10-07,18.08
2009-10-08,18.16
2009-10-09,18
2009-10-12,18.2
2009-10-13,18.16
2009-10-14,18.31
2009-10-15,18.06
2009-10-16,18.04
2009-10-19,17.89
2009-10-20,19.11
2009-10-21,19.01
2009-10-22,19.5
2009-10-23,19.59
2009-10-26,19.4
2009-10-27,19.21
2009-10-28,18.83
2009-10-29,18.58
2009-10-30,18.68
2009-11-02,18.08
2009-11-03,17.89
2009-11-04,18.17
2009-11-05,18.33
2009-11-06,18.34
2009-11-09,18.76
2009-11-10,19.15
2009-11-11,19.49
2009-11-12,19.35
2009-11-13,19.32
2009-11-16,19.57
2009-11-17,19.63
2009-11-18,19.67
2009-11-19,19.49
2009-11-20,18.97
2009-11-23,19.34
2009-11-24,19.56
2009-11-25,19.57
2009-11-27,18.98
2009-11-30,19.16
2009-12-01,19.26
2009-12-02,18.95
2009-12-03,18.81
2009-12-04,19.02
2009-12-07,18.42
2009-12-08,18.04
2009-12-09,18.22
2009-12-10,19
2009-12-11,18.84
2009-12-14,18.61
2009-12-15,18.65
2009-12-16,18.58
2009-12-17,18.5
2009-12-18,18.4
2009-12-21,18.68
2009-12-22,19
2009-12-23,19.17
2009-12-24,19.39
2009-12-28,20.17
2009-12-29,20.25
2009-12-30,19.89
2009-12-31,20.3
2010-01-04,20.33
2010-01-05,20.44
2010-01-06,20.42
2010-01-07,20.17
2010-01-08,20.03
2010-01-11,20.27
2010-01-12,19.93
2010-01-13,19.8
2010-01-14,20.01
2010-01-15,20.09
2010-01-19,19.85
