,Date,Open,High,Low,Close,Volume,ds,Adj. Close,Adj. Open,y,Daily Change
0,2009-06-03,13.28,13.39,13.2,13.38,141299900,2009-06-03,13.38,13.28,13.38,0.10000000000000142
1,2009-06-04,13.3,13.68,13.29,13.64,137658500,2009-06-04,13.64,13.3,13.64,0.33999999999999986
2,2009-06-05,13.79,13.89,13.59,13.73,158179000,2009-06-05,13.73,13.79,13.73,-0.05999999999999872
3,2009-06-08,13.65,13.69,13.23,13.65,232913100,2009-06-08,13.65,13.65,13.65,0.0
4,2009-06-09,13.65,13.72,13.34,13.54,169241100,2009-06-09,13.54,13.65,13.54,-0.11000000000000121
5,2009-06-10,13.5,13.51,13.12,13.31,172155900,2009-06-10,13.31,13.5,13.31,-0.1899999999999995
6,2009-06-11,13.24,13.43,13.15,13.28,131205900,2009-06-11,13.28,13.24,13.28,0.03999999999999915
7,2009-06-12,13.17,13.2,12.91,13.0,140771400,2009-06-12,13.0,13.17,13.0,-0.16999999999999993
8,2009-06-15,12.91,12.99,12.8,12.91,134937600,2009-06-15,12.91,12.91,12.91,0.0
9,2009-06-16,12.97,13.14,12.91,12.94,128701300,2009-06-16,12.94,12.97,12.94,-0.030000000000001137
10,2009-06-17,12.97,13.04,12.77,12.87,142853200,2009-06-17,12.87,12.97,12.87,-0.10000000000000142
11,2009-06-18,12.92,13.1,12.87,12.89,106920100,2009-06-18,12.89,12.92,12.89,-0.02999999999999936
12,2009-06-19,13.1,13.24,12.99,13.24,180464200,2009-06-19,13.24,13.1,13.24,0.14000000000000057
13,2009-06-22,13.35,13.43,12.94,13.04,158728500,2009-06-22,13.04,13.35,13.04,-0.3100000000000005
14,2009-06-23,12.94,13.0,12.61,12.72,176633100,2009-06-23,12.72,12.94,12.72,-0.21999999999999886
15,2009-06-24,12.85,13.05,12.8,12.93,121381400,2009-06-24,12.93,12.85,12.93,0.08000000000000007
16,2009-06-25,12.88,13.3,12.83,13.27,147361900,2009-06-25,13.27,12.88,13.27,0.3899999999999988
17,2009-06-26,13.26,13.62,13.26,13.52,109846100,2009-06-26,13.52,13.26,13.52,0.2599999999999998
18,2009-06-29,13.61,13.66,13.43,13.47,141904000,2009-06-29,13.47,13.61,13.47,-0.1399999999999988
19,2009-06-30,13.53,13.65,13.46,13.52,108556000,2009-06-30,13.52,13.53,13.52,-0.009999999999999787
20,2009-07-01,13.62,13.73,13.52,13.55,103544700,2009-07-01,13.55,13.62,13.55,-0.06999999999999851
21,2009-07-02,13.4,13.55,13.26,13.29,92619800,2009-07-02,13.29,13.4,13.29,-0.11000000000000121
22,2009-07-06,13.16,13.19,12.93,13.15,124672100,2009-07-06,13.15,13.16,13.15,-0.009999999999999787
23,2009-07-07,13.14,13.25,12.83,12.85,115399200,2009-07-07,12.85,13.14,12.85,-0.2900000000000009
24,2009-07-08,12.9,13.1,12.76,13.02,143982300,2009-07-08,13.02,12.9,13.02,0.11999999999999922
25,2009-07-09,13.07,13.09,12.9,12.94,85756300,2009-07-09,12.94,13.07,12.94,-0.13000000000000078
26,2009-07-10,12.94,13.19,12.94,13.14,111318900,2009-07-10,13.14,12.94,13.14,0.20000000000000107
27,2009-07-13,13.24,13.51,13.05,13.51,120875300,2009-07-13,13.51,13.24,13.51,0.2699999999999996
28,2009-07-14,13.48,13.59,13.39,13.5,86811900,2009-07-14,13.5,13.48,13.5,0.019999999999999574
29,2009-07-15,13.76,13.95,13.69,13.94,121396800,2009-07-15,13.94,13.76,13.94,0.17999999999999972
30,2009-07-16,13.83,14.05,13.81,14.0,98392700,2009-07-16,14.0,13.83,14.0,0.16999999999999993
31,2009-07-17,14.15,14.43,14.1,14.4,150538500,2009-07-17,14.4,14.15,14.4,0.25
32,2009-07-20,14.54,14.71,14.32,14.51,183881600,2009-07-20,14.51,14.54,14.51,-0.02999999999999936
33,2009-07-21,14.55,14.56,14.21,14.38,218695400,2009-07-21,14.38,14.55,14.38,-0.16999999999999993
34,2009-07-22,14.97,15.06,14.81,14.87,218526000,2009-07-22,14.87,14.97,14.87,-0.10000000000000142
35,2009-07-23,14.86,15.03,14.76,14.98,131740700,2009-07-23,14.98,14.86,14.98,0.120000000000001
36,2009-07-24,14.89,15.18,14.85,15.18,109590600,2009-07-24,15.18,14.89,15.18,0.28999999999999915
37,2009-07-27,15.2,15.27,14.92,15.19,108327800,2009-07-27,15.19,15.2,15.19,-0.009999999999999787
38,2009-07-28,15.08,15.19,14.96,15.18,90888700,2009-07-28,15.18,15.08,15.18,0.09999999999999964
39,2009-07-29,15.08,15.23,15.02,15.19,95539500,2009-07-29,15.19,15.08,15.19,0.10999999999999943
40,2009-07-30,15.34,15.63,15.33,15.45,117401200,2009-07-30,15.45,15.34,15.45,0.10999999999999943
41,2009-07-31,15.47,15.66,15.46,15.5,105634200,2009-07-31,15.5,15.47,15.5,0.02999999999999936
42,2009-08-03,15.68,15.81,15.64,15.79,98560000,2009-08-03,15.79,15.68,15.79,0.10999999999999943
43,2009-08-04,15.65,15.71,15.58,15.71,98952700,2009-08-04,15.71,15.65,15.71,0.0600000000000005
44,2009-08-05,15.73,15.88,15.58,15.67,105795900,2009-08-05,15.67,15.73,15.67,-0.0600000000000005
45,2009-08-06,15.71,15.8,15.48,15.55,85404200,2009-08-06,15.55,15.71,15.55,-0.16000000000000014
46,2009-08-07,15.7,15.81,15.64,15.71,96838700,2009-08-07,15.71,15.7,15.71,0.010000000000001563
47,2009-08-10,15.72,15.81,15.53,15.63,75073600,2009-08-10,15.63,15.72,15.63,-0.08999999999999986
48,2009-08-11,15.53,15.6,15.36,15.45,88835600,2009-08-11,15.45,15.53,15.45,-0.08000000000000007
49,2009-08-12,15.42,15.82,15.42,15.69,111267800,2009-08-12,15.69,15.42,15.69,0.2699999999999996
50,2009-08-13,15.81,16.01,15.8,15.98,109995200,2009-08-13,15.98,15.81,15.98,0.16999999999999993
51,2009-08-14,15.94,15.96,15.71,15.83,76454000,2009-08-14,15.83,15.94,15.83,-0.10999999999999943
52,2009-08-17,15.52,15.52,15.13,15.14,131095300,2009-08-17,15.14,15.52,15.14,-0.379999999999999
53,2009-08-18,15.34,15.59,15.32,15.56,107788100,2009-08-18,15.56,15.34,15.56,0.22000000000000064
54,2009-08-19,15.44,15.69,15.42,15.62,103317900,2009-08-19,15.62,15.44,15.62,0.17999999999999972
55,2009-08-20,15.66,15.82,15.62,15.78,85507800,2009-08-20,15.78,15.66,15.78,0.11999999999999922
56,2009-08-21,15.91,16.07,15.83,16.06,104018600,2009-08-21,16.06,15.91,16.06,0.14999999999999858
57,2009-08-24,16.14,16.2,15.97,16.04,101732400,2009-08-24,16.04,16.14,16.04,-0.10000000000000142
58,2009-08-25,16.08,16.22,16.05,16.07,81088700,2009-08-25,16.07,16.08,16.07,-0.00999999999999801
59,2009-08-26,16.03,16.09,15.82,15.89,75999700,2009-08-26,15.89,16.03,15.89,-0.14000000000000057
60,2009-08-27,16.01,16.09,15.64,16.08,112295400,2009-08-27,16.08,16.01,16.08,0.06999999999999673
61,2009-08-28,16.35,16.37,15.99,16.14,113425200,2009-08-28,16.14,16.35,16.14,-0.21000000000000085
62,2009-08-31,15.96,16.02,15.8,15.96,77834400,2009-08-31,15.96,15.96,15.96,0.0
63,2009-09-01,15.94,16.13,15.65,15.69,117257000,2009-09-01,15.69,15.94,15.69,-0.25
64,2009-09-02,15.62,15.9,15.57,15.67,91062300,2009-09-02,15.67,15.62,15.67,0.05000000000000071
65,2009-09-03,15.79,15.86,15.66,15.8,73488800,2009-09-03,15.8,15.79,15.8,0.010000000000001563
66,2009-09-04,15.87,16.2,15.86,16.16,93657200,2009-09-04,16.16,15.87,16.16,0.2900000000000009
67,2009-09-08,16.41,16.43,16.32,16.41,78761900,2009-09-08,16.41,16.41,16.41,0.0
68,2009-09-09,16.4,16.56,16.1,16.24,202771800,2009-09-09,16.24,16.4,16.24,-0.16000000000000014
69,2009-09-10,16.33,16.44,16.21,16.37,122783500,2009-09-10,16.37,16.33,16.37,0.0400000000000027
70,2009-09-11,16.41,16.43,16.21,16.34,87240300,2009-09-11,16.34,16.41,16.34,-0.07000000000000028
71,2009-09-14,16.21,16.5,16.16,16.48,80502800,2009-09-14,16.48,16.21,16.48,0.2699999999999996
72,2009-09-15,16.52,16.67,16.47,16.62,106617700,2009-09-15,16.62,16.52,16.62,0.10000000000000142
73,2009-09-16,16.89,17.34,16.88,17.26,188505800,2009-09-16,17.26,16.89,17.26,0.370000000000001
74,2009-09-17,17.27,17.72,17.27,17.51,202643000,2009-09-17,17.51,17.27,17.51,0.240000000000002
75,2009-09-18,17.63,17.7,17.53,17.56,150395700,2009-09-18,17.56,17.63,17.56,-0.07000000000000028
76,2009-09-21,17.49,17.57,17.23,17.46,109428900,2009-09-21,17.46,17.49,17.46,-0.029999999999997584
77,2009-09-22,17.57,17.59,17.35,17.51,89188400,2009-09-22,17.51,17.57,17.51,-0.05999999999999872
78,2009-09-23,17.59,17.93,17.56,17.6,148390900,2009-09-23,17.6,17.59,17.6,0.010000000000001563
79,2009-09-24,17.76,17.81,17.34,17.44,137720100,2009-09-24,17.44,17.76,17.44,-0.3200000000000003
80,2009-09-25,17.27,17.6,17.22,17.31,111309800,2009-09-25,17.31,17.27,17.31,0.03999999999999915
81,2009-09-28,17.45,17.71,17.4,17.66,84361200,2009-09-28,17.66,17.45,17.66,0.21000000000000085
82,2009-09-29,17.72,17.78,17.49,17.59,86346400,2009-09-29,17.59,17.72,17.59,-0.129999999999999
83,2009-09-30,17.66,17.69,17.33,17.59,134896300,2009-09-30,17.59,17.66,17.59,-0.07000000000000028
84,2009-10-01,17.59,17.67,17.15,17.16,131177900,2009-10-01,17.16,17.59,17.16,-0.4299999999999997
85,2009-10-02,17.21,17.64,17.21,17.55,138327000,2009-10-02,17.55,17.21,17.55,0.33999999999999986
86,2009-10-05,17.67,17.73,17.49,17.65,105783300,2009-10-05,17.65,17.67,17.65,-0.020000000000003126
87,2009-10-06,17.82,18.03,17.77,18.03,151271400,2009-10-06,18.03,17.82,18.03,0.21000000000000085
88,2009-10-07,18.01,18.08,17.94,18.05,116417000,2009-10-07,18.05,18.01,18.05,0.03999999999999915
89,2009-10-08,18.09,18.17,17.92,17.96,109552800,2009-10-08,17.96,18.09,17.96,-0.129999999999999
90,2009-10-09,17.93,18.1,17.9,18.07,73318000,2009-10-09,18.07,17.93,18.07,0.14000000000000057
91,2009-10-12,18.13,18.17,18.0,18.11,72006200,2009-10-12,18.11,18.13,18.11,-0.019999999999999574
92,2009-10-13,18.09,18.14,18.0,18.03,87005100,2009-10-13,18.03,18.09,18.03,-0.05999999999999872
93,2009-10-14,18.24,18.25,18.05,18.15,93877700,2009-10-14,18.15,18.24,18.15,-0.08999999999999986
94,2009-10-15,17.99,18.12,17.98,18.08,93389100,2009-10-15,18.08,17.99,18.08,0.08999999999999986
95,2009-10-16,17.97,18.06,17.82,17.84,107856700,2009-10-16,17.84,17.97,17.84,-0.129999999999999
96,2009-10-19,17.83,18.03,17.61,18.02,235557700,2009-10-19,18.02,17.83,18.02,0.19000000000000128
97,2009-10-20,19.04,19.14,18.77,18.86,285259800,2009-10-20,18.86,19.04,18.86,-0.17999999999999972
98,2009-10-21,18.93,19.8,18.91,19.45,298431700,2009-10-21,19.45,18.93,19.45,0.5199999999999996
99,2009-10-22,19.42,19.72,19.22,19.47,197848000,2009-10-22,19.47,19.42,19.47,0.04999999999999716
100,2009-10-23,19.52,19.53,19.28,19.35,105196700,2009-10-23,19.35,19.52,19.35,-0.16999999999999815
101,2009-10-26,19.33,19.62,18.99,19.21,121084600,2009-10-26,19.21,19.33,19.21,-0.11999999999999744
102,2009-10-27,19.14,19.25,18.64,18.73,189137900,2009-10-27,18.73,19.14,18.73,-0.41000000000000014
103,2009-10-28,18.76,18.79,18.13,18.26,204596700,2009-10-28,18.26,18.76,18.26,-0.5
104,2009-10-29,18.5,18.68,18.23,18.63,142567600,2009-10-29,18.63,18.5,18.63,0.129999999999999
105,2009-10-30,18.6,18.67,17.86,17.89,179381300,2009-10-30,17.89,18.6,17.89,-0.7100000000000009
106,2009-11-02,18.01,18.3,17.61,17.96,169745800,2009-11-02,17.96,18.01,17.96,-0.05000000000000071
107,2009-11-03,17.83,17.98,17.64,17.91,130635400,2009-11-03,17.91,17.83,17.91,0.08000000000000185
108,2009-11-04,18.1,18.39,18.05,18.11,121882600,2009-11-04,18.11,18.1,18.11,0.00999999999999801
109,2009-11-05,18.26,18.5,18.2,18.41,96200300,2009-11-05,18.41,18.26,18.41,0.14999999999999858
110,2009-11-06,18.27,18.52,18.26,18.44,73774400,2009-11-06,18.44,18.27,18.44,0.1700000000000017
111,2009-11-09,18.69,19.16,18.62,19.12,132213900,2009-11-09,19.12,18.69,19.12,0.4299999999999997
112,2009-11-10,19.08,19.45,19.07,19.26,100298800,2009-11-10,19.26,19.08,19.26,0.18000000000000327
