Date,Open,High,Low,Close,Volume
3/27/2014,566.44,566.44,551.41,556.93,"13,100"
3/28/2014,559.66,564.88,557.14,558.46,"41,200"
3/31/2014,565.34,565.45,555.41,555.45,"10,800"
4/1/2014,557.18,566.89,557.18,565.61,"7,900"
4/2/2014,598.35,603.17,560.65,565.45,"147,100"
4/3/2014,568.29,585.67,562.59,568.18,"5,099,100"
4/4/2014,573.08,576.19,541.51,541.65,"6,369,300"
4/7/2014,539.26,546.98,525.71,536.68,"4,401,600"
4/8/2014,541.11,553.48,540.13,553.38,"3,151,200"
4/9/2014,558.09,563.82,551.44,562.6,"3,330,800"
4/10/2014,563.45,563.45,538.42,539.47,"4,036,800"
4/11/2014,531.09,538.52,525.09,529.15,"3,924,800"
4/14/2014,536.78,542.61,528.11,531.06,"2,575,000"
4/15/2014,535.35,536.98,517.04,534.97,"3,855,000"
4/16/2014,541.51,555.47,538.52,555.02,"4,893,200"
4/17/2014,547.31,548,529.7,534.63,"6,809,500"
4/21/2014,534.63,535.23,524.16,527.17,"2,566,700"
4/22/2014,527.19,535.76,526.07,533.35,"2,365,300"
4/23/2014,532.33,532.41,524.81,525.5,"2,052,300"
4/24/2014,528.62,530.19,520.69,523.72,"1,883,100"
4/25/2014,521.08,523.26,514.01,514.77,"2,100,300"
4/28/2014,515.76,517.18,501.42,515.73,"3,335,500"
4/29/2014,515.48,528.01,514.91,526.26,"2,699,000"
4/30/2014,526.16,526.55,521.09,525.22,"1,751,100"
5/1/2014,525.67,531.47,522.45,529.9,"1,905,500"
5/2/2014,532.3,532.54,524.17,526.48,"1,688,500"
5/5/2014,523.38,527.45,519.89,526.36,"1,024,100"
5/6/2014,523.79,525.37,513.65,513.73,"1,689,000"
5/7/2014,514.38,515.27,501.92,508.56,"3,224,300"
5/8/2014,507.07,515.81,505.06,509.6,"2,021,300"
5/9/2014,509.35,518.48,502.82,517.31,"2,439,400"
5/12/2014,522.08,528.74,517.59,528.47,"1,912,500"
5/13/2014,529.44,534.6,528.06,531.63,"1,653,400"
5/14/2014,531.54,531.54,523.85,525.21,"1,191,700"
5/15/2014,524.26,524.43,516,518.56,"1,704,300"
5/16/2014,519.96,520.37,514.03,519.2,"1,485,200"
5/19/2014,518.28,528.33,516.17,527.41,"1,277,700"
5/20/2014,528.29,534.76,524.86,528.32,"1,784,700"
5/21/2014,531.44,537.71,530.45,537.46,"1,196,200"
